Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603_1608Metric,115.600000,-79.400000,180.000000,top
C2,2.2uF,C_0603_1608Metric,131.100000,-85.600000,270.000000,top
C3,1nF,C_0603_1608Metric,112.300000,-79.987500,270.000000,top
C4,1nF,C_0603_1608Metric,112.300000,-73.500000,270.000000,top
C5,4.7uF,C_0603_1608Metric,129.400000,-85.600000,270.000000,top
C6,0.1uF,C_0603_1608Metric,115.600000,-81.050000,180.000000,top
C7,12pF,C_0603_1608Metric,126.600000,-63.800000,90.000000,top
C8,0.1uF,C_0603_1608Metric,132.300000,-73.600000,0.000000,top
C9,0.1uF,C_0603_1608Metric,115.600000,-74.550000,180.000000,top
C10,1uF,C_0603_1608Metric,120.100000,-69.700000,180.000000,top
C11,12pF,C_0603_1608Metric,124.400000,-63.800000,90.000000,top
C12,0.1uF,C_0603_1608Metric,127.750000,-85.600000,270.000000,top
C13,0.1uF,C_0603_1608Metric,126.962500,-69.800000,180.000000,top
C14,10nF,C_0603_1608Metric,120.100000,-68.100000,180.000000,top
C15,0.1uF,C_0603_1608Metric,132.750000,-100.000000,180.000000,top
C16,10uF,C_0603_1608Metric,127.500000,-97.250000,270.000000,top
C18,0.1uF,C_0603_1608Metric,139.000000,-57.250000,90.000000,top
C19,33pF,C_0603_1608Metric,135.750000,-97.250000,270.000000,top
C20,33pF,C_0603_1608Metric,110.500000,-65.500000,270.000000,top
C21,0.1uF,C_0603_1608Metric,107.500000,-68.250000,180.000000,top
C22,10uF,C_0603_1608Metric,102.250000,-65.500000,270.000000,top
C23,4.7uF,C_0603_1608Metric,125.750000,-97.250000,270.000000,top
C24,4.7uF,C_0603_1608Metric,103.800000,-68.200000,0.000000,top
D1,B5819W,D_SOD-123,122.200000,-98.600000,180.000000,top
D2,B5819W,D_SOD-123,122.200000,-95.800000,180.000000,top
D3,ZMM3V3,D_MiniMELF,127.800000,-100.400000,180.000000,top
D4,GREEN,LED_0805_2012Metric,140.200000,-71.900000,180.000000,top
D5,GREEN,LED_0805_2012Metric,140.200000,-74.400000,180.000000,top
D6,GREEN,LED_0805_2012Metric,140.200000,-76.900000,180.000000,top
D7,GREEN,LED_0805_2012Metric,140.200000,-79.400000,180.000000,top
D8,GREEN,LED_0805_2012Metric,140.200000,-81.900000,180.000000,top
D9,RED,LED_0805_2012Metric,123.400000,-109.000000,90.000000,top
D10,ZMM5V6,D_MiniMELF,107.600000,-62.200000,0.000000,top
J1,USB_B_Mini,USB_Mini-B_Wuerth_65100516121_Horizontal,115.500000,-107.125,270,top
L1,39nH,L_0402_1005Metric,120.100000,-66.800000,0.000000,top
L2,2.2uH,L_0805_2012Metric,129.500000,-97.250000,90.000000,top
L3,2.2uH,L_0805_2012Metric,104.250000,-65.500000,90.000000,top
Q1,AO3400A,SOT-23,143.500000,-95.000000,180.0,top
R1,10k,R_0603_1608Metric,110.750000,-57.250000,90.000000,top
R2,124k,R_0603_1608Metric,137.500000,-97.250000,90.000000,top
R3,40.2k,R_0603_1608Metric,139.250000,-97.250000,270.000000,top
R4,500,R_0603_1608Metric,144.000000,-71.900000,180.000000,top
R5,500,R_0603_1608Metric,144.000000,-74.400000,180.000000,top
R6,500,R_0603_1608Metric,144.000000,-76.900000,180.000000,top
R7,500,R_0603_1608Metric,144.000000,-79.400000,180.000000,top
R8,500,R_0603_1608Metric,144.000000,-81.900000,180.000000,top
R9,500,R_0603_1608Metric,125.400000,-109.000000,90.000000,top
R10,4.7k,R_0603_1608Metric,133.400000,-68.900000,0.000000,top
R11,4.7k,R_0603_1608Metric,133.412500,-70.600000,180.000000,top
R13,1k,R_0603_1608Metric,137.250000,-57.250000,90.000000,top
R15,100k,R_0603_1608Metric,140.750000,-57.250000,270.000000,top
R16,124k,R_0603_1608Metric,112.250000,-65.500000,90.000000,top
R17,23.7k,R_0603_1608Metric,114.000000,-65.500000,270.000000,top
R18,4.7k,R_0603_1608Metric,115.600000,-77.800000,180.000000,top
R19,9.1k,R_0603_1608Metric,115.600000,-76.200000,0.000000,top
R20,4.7k,R_0603_1608Metric,115.600000,-71.100000,180.000000,top
R21,9.1k,R_0603_1608Metric,115.600000,-72.800000,180.000000,top
R22,47,R_0603_1608Metric,122.500000,-69.012500,270.000000,top
U1,ACS712xLCTR-05B,SOIC-8_3.9x4.9mm_P1.27mm,107.500000,-78.500000,270,top
U2,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,124.000000,-77.300000,180,top
U3,ACS712xLCTR-05B,SOIC-8_3.9x4.9mm_P1.27mm,107.500000,-72.000000,270,top
U4,MP2451,SOT-23-6,132.750000,-97.250000,180.000000,top
U5,M24C02-WMN,SOIC-8_3.9x4.9mm_P1.27mm,133.300000,-65.000000,270,top
U6,USBLC6-2P6,SOT-666,115.100000,-99.400000,90.000000,top
U7,MP2451,SOT-23-6,107.500000,-65.500000,180.000000,top
Y1,16MHz,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,125.500000,-67.300000,180.000000,top